Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
236,0,-0.0157564,0.00373154,-0.00527947,253.474,-384.519,233.053
237,0,-0.0162521,0.0041232,-0.00490839,253.513,-385.247,233.062
238,0,-0.0152776,0.00380907,-0.00542985,253.519,-386.046,233.072
239,0,-0.0150319,0.00306087,-0.00466328,253.549,-386.783,233.082
240,0,-0.0156914,0.00404748,-0.00495722,253.591,-387.523,233.126
241,0,-0.015551,0.00285271,-0.00484819,253.659,-388.379,233.124
242,0,-0.0159937,0.00253136,-0.00516035,253.673,-389.078,233.14
243,0,-0.0164383,0.00298571,-0.00535545,253.696,-389.857,233.14
244,0,-0.016011,0.00449744,-0.0058139,253.708,-390.633,233.148
245,0,-0.014909,0.00454545,-0.00541024,253.752,-391.364,233.168
246,0,-0.0155413,0.0036618,-0.00585932,253.795,-392.15,233.199
247,0,-0.01605,0.00270983,-0.00520317,253.841,-392.936,233.231
248,0,-0.016571,0.00289197,-0.00555491,253.853,-393.642,233.246
249,0,-0.0164598,0.00344215,-0.00579072,253.899,-394.448,233.238
250,0,-0.0155444,0.00460058,-0.00586847,253.922,-395.153,233.259
251,0,-0.0152844,0.00423973,-0.00625761,253.943,-395.914,233.273
252,0,-0.0152112,0.00373598,-0.00602437,253.971,-396.71,233.295
253,0,-0.0150756,0.00376468,-0.00590751,254.008,-397.431,233.315
254,0,-0.0153763,0.00404904,-0.00613461,254.04,-398.188,233.343
255,0,-0.0152645,0.00273578,-0.00574038,254.077,-398.997,233.344
256,0,-0.0157409,0.00323124,-0.00587067,254.108,-399.711,233.362
257,0,-0.0168658,0.00359375,-0.00672013,254.137,-400.522,233.357
258,0,-0.0155328,0.00470884,-0.00610827,254.161,-401.26,233.364
259,0,-0.0154528,0.00510593,-0.00634502,254.188,-401.998,233.392
260,0,-0.0148078,0.00381412,-0.00607035,254.212,-402.803,233.414
261,0,-0.0157344,0.00327552,-0.00621698,254.257,-403.543,233.419
262,0,-0.0169854,0.00326467,-0.00663712,254.304,-404.325,233.436
263,0,-0.0157729,0.00348904,-0.00578564,254.322,-405.098,233.425
264,0,-0.0151499,0.00425269,-0.00597614,254.333,-405.808,233.433
265,0,-0.0150828,0.00486981,-0.00704512,254.372,-406.588,233.458
266,0,-0.0157555,0.00394309,-0.00616202,254.39,-407.336,233.481
267,0,-0.0157514,0.0039511,-0.0064099,254.415,-408.051,233.512
268,0,-0.0155275,0.00344931,-0.00566681,254.444,-408.846,233.513
269,0,-0.0157985,0.00359286,-0.00528964,254.511,-409.625,233.527
270,0,-0.0162376,0.00357086,-0.00685375,254.547,-410.394,233.541
271,0,-0.0162125,0.00385132,-0.00624593,254.557,-411.171,233.538
272,0,-0.015319,0.00453494,-0.00557196,254.565,-411.883,233.545
273,0,-0.0148492,0.00469679,-0.00660832,254.605,-412.65,233.583
274,0,-0.0141799,0.00449558,-0.00596766,254.642,-413.421,233.606
275,0,-0.0154726,0.00356969,-0.0065604,254.683,-414.146,233.632
276,0,-0.0162454,0.00305038,-0.00619457,254.729,-414.963,233.611
277,0,-0.0157397,0.00388228,-0.00568532,254.759,-415.715,233.622
278,0,-0.0155283,0.00495015,-0.00597605,254.796,-416.468,233.648
279,0,-0.0145581,0.0050678,-0.00662659,254.829,-417.25,233.668
280,0,-0.0148016,0.00428824,-0.00585002,254.838,-417.971,233.691
281,0,-0.0152719,0.0040979,-0.00621385,254.855,-418.716,233.71
282,0,-0.0151821,0.00360194,-0.00618992,254.908,-419.513,233.712
283,0,-0.0151891,0.00493629,-0.00632596,254.949,-420.231,233.733
284,0,-0.015227,0.00348378,-0.00677411,254.99,-421.05,233.733
285,0,-0.0155445,0.00398333,-0.00594491,255.003,-421.782,233.742
286,0,-0.0156615,0.00487791,-0.00657542,255.023,-422.521,233.762
287,0,-0.0156493,0.00510017,-0.00669154,255.04,-423.262,233.802
288,0,-0.015126,0.00510048,-0.00542187,255.069,-424.013,233.815
289,0,-0.0146034,0.0032766,-0.00693211,255.093,-424.801,233.814
290,0,-0.0156413,0.00346907,-0.00583144,255.152,-425.585,233.818
291,0,-0.0157395,0.00438363,-0.00631179,255.189,-426.321,233.831
292,0,-0.0156804,0.00440931,-0.0063856,255.225,-427.147,233.827
293,0,-0.0143861,0.00500308,-0.00606234,255.23,-427.866,233.847
294,0,-0.01417,0.0043799,-0.00700125,255.258,-428.605,233.887
295,0,-0.0153789,0.00316128,-0.00694028,255.273,-429.356,233.888
296,0,-0.0163371,0.0038581,-0.00560036,255.321,-430.133,233.883
297,0,-0.015948,0.00405987,-0.00664537,255.329,-430.9,233.907
298,0,-0.0151685,0.00400554,-0.0058419,255.368,-431.689,233.915
299,0,-0.0152888,0.00404214,-0.00640759,255.385,-432.413,233.932
300,0,-0.0158187,0.00376476,-0.00697347,255.409,-433.158,233.951
301,0,-0.0150887,0.00375043,-0.00549871,255.416,-433.897,233.98
302,0,-0.0150227,0.00328438,-0.00673482,255.431,-434.621,233.982
303,0,-0.0146185,0.00327916,-0.00652955,255.482,-435.43,233.98
304,0,-0.0154033,0.00331071,-0.00635213,255.529,-436.181,233.994
305,0,-0.0161958,0.00292059,-0.00693085,255.566,-436.948,233.999
306,0,-0.0152709,0.00295386,-0.00621918,255.601,-437.734,234.009
307,0,-0.0148173,0.00442114,-0.00661869,255.621,-438.449,234.045
308,0,-0.0137696,0.00385691,-0.0070196,255.624,-439.186,234.065
309,0,-0.0148528,0.00298091,-0.00557144,255.654,-439.968,234.055
310,0,-0.016504,0.00322654,-0.00627495,255.692,-440.716,234.054
311,0,-0.0158492,0.00289566,-0.00648072,255.732,-441.534,234.047
312,0,-0.0160368,0.00413106,-0.00629074,255.763,-442.282,234.084
313,0,-0.0146321,0.00414435,-0.00737525,255.817,-443.039,234.1
314,0,-0.0152704,0.00351245,-0.00623939,255.811,-443.736,234.146
315,0,-0.0154394,0.002981,-0.00654444,255.812,-444.504,234.165
316,0,-0.0153072,0.00381244,-0.00673534,255.852,-445.246,234.159
317,0,-0.0153885,0.00411655,-0.00583675,255.9,-446.023,234.178
318,0,-0.0157922,0.00439099,-0.00655941,255.945,-446.77,234.188
319,0,-0.0154444,0.00298657,-0.00622289,255.992,-447.589,234.171
